Interval;Power(W)
00:00;93412
00:15;84416
00:30;75924
00:45;68556
01:00;62312
01:15;57692
01:30;54448
01:45;52324
02:00;50952
02:15;50076
02:30;49452
02:45;49200
03:00;48828
03:15;48452
03:30;48204
03:45;47828
04:00;47828
04:15;47952
04:30;48452
04:45;49076
05:00;49952
05:15;51076
05:30;53824
05:45;59568
06:00;69680
06:15;84916
0:30;103400
06:45;122380
07:00;139240
07:15;151852
07:30;160468
07:45;165712
08:00;168336
08:15;169084
08:30;168336
08:45;166212
09:00;163216
09:15;159468
09:30;155596
09:45;151724
10:00;148604
10:15;146480
10:30;145108
10:45;144484
11:00;144484
11:15;144984
11:30;146108
11:45;148228
12:00;151724
12:15;156596
12:30;161840
12:45;166088
13:00;168336
13:15;167584
13:30;164464
13:45;159844
14:00;154848
14:15;150104
14:30;145856
14:45;141984
15:00;138240
15:15;134744
15:30;131744
15:45;129248
16:00;127876
16:15;127624
16:30;128872
16:45;131872
17:00;137240
17:15;144856
17:30;154472
17:45;165588
18:00;177700
18:15;190312
18:30;202552
18:45;213788
19:00;223404
19:15;230648
19:30;235020
19:45;235892
20:00;232772
20:15;225652
20:30;215664
20:45;204672
21:00;194308
21:15;185940
21:30;179072
21:45;172828
22:00;166336
22:15;158844
22:30;150476
22:45;141484
23:00;131996
23:15;122380
23:30;112640
23:45;103024
