Interval;Power (W)
00:00;98.7
00:15;107.3
00:30;115.3
00:45;86.8
01:00;80.3
01:15;78.6
01:30;91.4
01:45;72.9
02:00;61.8
02:15;61.3
02:30;65.7
02:45;71.9
03:00;71.4
03:15;76.1
03:30;52.2
03:45;60
04:00;69.6
04:15;88.2
04:30;59
04:45;52.9
05:00;71.8
05:15;63.8
05:30;80.6
05:45;53.4
06:00;86.6
06:15;43.8
06:30;63.5
06:45;77
07:00;80.1
07:15;58.9
07:30;66.1
07:45;63.1
08:00;73.2
08:15;76.6
08:30;67
08:45;66.7
09:00;60
09:15;60.6
09:30;75
09:45;76.2
10:00;101
10:15;347.6
10:30;318
10:45;85.3
11:00;66.9
11:15;107.2
11:30;101.2
11:45;77
12:00;47.8
12:15;44.9
12:30;61.3
12:45;67.3
13:00;113.2
13:15;74
13:30;36
13:45;25.2
14:00;33.4
14:15;37.4
14:30;60.5
14:45;24.7
15:00;35.8
15:15;28.8
15:30;43.5
15:45;37.8
16:00;48.1
16:15;34.3
16:30;23.9
16:45;29
17:00;42.8
17:15;61.9
17:30;18.7
17:45;31.9
18:00;34.5
18:15;41.2
18:30;48.1
18:45;42.3
19:00;31.3
19:15;23.4
19:30;36.6
19:45;41.5
20:00;47.6
20:15;28.4
20:30;24.1
20:45;35.7
21:00;50.9
21:15;40.9
21:30;33.5
21:45;35.9
22:00;26.1
22:15;28
22:30;48.3
22:45;54.6
23:00;30.3
23:15;16.9
23:30;38.7
23:45;46.5
