Interval;Power(W)
00:00;0
00:15;0
00:30;0
00:45;0
01:00;0
01:15;0
01:30;0
01:45;0
02:00;0
02:15;0
02:30;0
02:45;0
03:00;0
03:15;0
03:30;0
03:45;0
04:00;0
04:15;0
04:30;0
04:45;0
05:00;0
05:15;0
05:30;0
05:45;0
06:00;0
06:15;0
06:30;0
06:45;0
07:00;0
07:15;0
07:30;6640
07:45;6640
08:00;209910
08:15;209910
08:30;605160
08:45;605160
09:00;1156030
09:15;1156030
09:30;1808590
09:45;1808590
10:00;2418190
10:15;2418190
10:30;2882740
10:45;2882740
11:00;3216940
11:15;3216940
11:30;3351280
11:45;3351280
12:00;2927100
12:15;2927100
12:30;3107060
12:45;3107060
13:00;1866640
13:15;1866640
13:30;1468530
13:45;1468530
14:00;1201840
14:15;1201840
14:30;491380
14:45;491380
15:00;84230
15:15;84230
15:30;0
15:45;0
16:00;0
16:15;0
16:30;0
16:45;0
17:00;0
17:15;0
17:30;0
17:45;0
18:00;0
18:15;0
18:30;0
18:45;0
19:00;0
19:15;0
19:30;0
19:45;0
20:00;0
20:15;0
20:30;0
20:45;0
21:00;0
21:15;0
21:30;0
21:45;0
22:00;0
22:15;0
22:30;0
22:45;0
23:00;0
23:15;0
23:30;0
23:45;0
